None,138947
citrus,1572
lavender,355
fresh clean,129
woody,3718
unscented,1325
chypre,313
amber,445
 lavender,465
 spicy,1017
fruity,2413
 floral,3625
 aquatic,72
lime,73
 lemon,92
floral,2602
 oriental,1399
pine,147
clean fresh,132
flowery,1283
spice,34
orange blossom,19
oriental,2323
 fougere,89
 woodsy,60
lemon,747
strawberry,24
aquatic,362
woodsy,219
floral green,104
light floral,64
fougere,193
cucumber melon,57
pomegranate,36
gourmand,99
 fruity,246
spicy,411
berry,46
jasmine,59
 florally,45
vanilla,247
peach,50
 vanilla,180
cherry,167
 musk,262
 mossy,431
musk,51
 warm spicy,4
citrusy,97
assorted,33
mint,94
cinnamon,48
cucumber,27
 tropical,11
 peach,10
luscious apple,3
eucalyptus,33
new car,13
rosemary,27
raspberry,32
leather,53
 leather,13
ginger,14
fresh linen,58
coconut,68
vanilla bean,7
grapefruit,48
orange,183
herbal,97
lemony,8
 woody,117
rain,56
 gourmand,22
mango,133
sandalwood,25
rose,67
musky,89
spicy cinnamon,1
 cranberry,2
honeysuckle,43
linen,83
warm spicy,21
almond,47
earthy,50
spring flower,6
florally,21
flowers,7
morning pine,1
lemongrass,52
apple,112
aloe,35
pineapple,19
sage,5
orchid,18
 flowery,14
flower,29
patchouli,10
 rose,19
wood,12
 sparkling bloom,5
mandarin,10
 mint,46
 lime,25
eucalyptus mint,4
tropical,115
woods,9
 citrusy,30
pina colada,8
ocean mist,19
spiced apple,17
spring rain,12
 orange,30
lily,21
rain forest,3
chamomile,44
cranberry,33
mossy,2
 thyme,9
 spice,35
 jasmine,22
lilies,4
 linen,5
mandarin orange,15
rain garden,2
thyme,1
 light citrus,1
apple cinnamon,24
 sage,12
chocolate,4
cherry blossom,5
 green tea,24
pine forest,8
light citrus,20
 herbal,19
 patchouli,7
sassafras,27
 lemongrass,2
 pineapple,8
 pear,4
fresh fruit,14
leathery,11
 cinnamon,16
 juicy bloom,5
tea tree,18
 peppermint,7
 almond,10
pear,14
green apple,29
citron rose,6
pomegranate splash,10
 eucalyptus,5
 cucumber,13
night musk,1
blueberry,3
 new car,12
 vanillaroma,5
 coconut,11
 royal pine,5
peppermint,7
 earthy,2
bayberry,7
 cedar,1
crisp linen,28
 ginger,11
melon,5
 melon,4
magnolia,17
 lily,9
tea,11
 citrus,9
 leathery,6
 mandarin,7
 herbal tea,1
 berry,5
 grapefruit,6
fresh pear,6
cedar,12
cinnaberry,1
 hawaiian ginger,1
 strawberry,4
 clove,3
 cherry,13
 wood,10
luscious floral,14
balsamic,8
 flowers,4
aloe vera,7
hawaiian ginger,2
linens,1
 lilies,1
 apple,14
 mango,3
 balsamic,1
 bergamot,8
 woods,2
 sandalwood,6
wild berry,5
pink rose,1
 rain,5
 green apple,4
 pine,1
 tea,10
green tea,6
 musky,4
 rain forest,1
 luscious floral,1
royal pine,1
tuberose,2
 raspberry,4
 fresh clean,2
 luscious apple,1
 assorted,1
 rosemary,2
 clean fresh,3
 orange blossom,1
luscious mango,2
bergamot,3
french vanilla,4
passion fruit,3
 amber,1
vanillaroma,2
white lily,1
 chamomile,2
 orchid,6
 chocolate,1
lemon mint,1
 cherry blossom,3
luscious fruity,1
 tuberose,2
 pomegranate,2
red rose,1
 flower,2
 sugar spice,1
 ocean mist,2
 lemony,1
